,,,MIS  ,,CO,,,
ISIN,,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,CO Margin(%),CO Upper Trigger,CO Multiplier
ISIN,Symbol,Not listed in BSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INE473A01011,LINDEINDIA,523457,20.78,20.00,5,20.00,10,5
INE018A01030,LT,500510,14.37,20.00,5,20.00,10,5
INE214T01019,LTI,540005,18.96,20.00,5,20.00,10,5
INE010V01017,LTTS,540115,20.25,20.00,5,20.00,10,5
INE326A01037,LUPIN,500257,16.28,20.00,5,20.00,10,5
INE150G01020,LUXIND,539542,19.22,20.00,5,20.00,10,5
INE101A01026,M&M,500520,16.69,20.00,5,20.00,10,5
INE774D01024,M&MFIN,532720,22.68,20.00,5,20.00,10,5
INE457A01014,MAHABANK,532525,24.45,20.00,5,20.00,10,5
INE536H01010,MAHINDCIE,532756,22.26,20.00,5,20.00,10,5
INE766P01016,MAHLOG,540768,21.94,20.00,5,20.00,10,5
INE288A01013,MAHSCOOTER,500266,18.20,20.00,5,20.00,10,5
INE271B01025,MAHSEAMLES,500265,19.13,20.00,5,20.00,10,5
INE683C01011,MAITHANALL,590078,24.55,20.00,5,20.00,10,5
INE522D01027,MANAPPURAM,531213,21.64,20.00,5,20.00,10,5
INE196A01026,MARICO,531642,12.50,20.00,5,20.00,10,5
INE585B01010,MARUTI,532500,15.76,20.00,5,20.00,10,5
INE348L01012,MASFIN,540749,17.56,20.00,5,20.00,10,5
INE027H01010,MAXHEALTH,543220,35.00,35.00,3,35.00,10,3
INE249Z01012,MAZDOCK,543237,18.85,20.00,5,20.00,10,5
INE854D01024,MCDOWELL-N,532432,15.90,20.00,5,20.00,10,5
INE745G01035,MCX,534091,19.12,20.00,5,20.00,10,5
INE112L01020,METROPOLIS,542650,20.56,20.00,5,20.00,10,5
INE180A01020,MFSL,500271,18.78,20.00,5,20.00,10,5
INE002S01010,MGL,539957,15.26,20.00,5,20.00,10,5
INE998I01010,MHRIL,533088,19.71,20.00,5,20.00,10,5
INE099Z01011,MIDHANI,541195,17.49,20.00,5,20.00,10,5
INE842C01021,MINDACORP,538962,24.52,20.00,5,20.00,10,5
INE018I01017,MINDTREE,532819,19.74,20.00,5,20.00,10,5
INE123F01029,MMTC,513377,26.91,20.00,5,20.00,10,5
INE490G01020,MOIL,533286,17.95,20.00,5,20.00,10,5
INE338I01027,MOTILALOFS,532892,19.90,20.00,5,20.00,10,5
INE356A01018,MPHASIS,526299,18.55,20.00,5,20.00,10,5
INE883A01011,MRF,500290,13.76,20.00,5,20.00,10,5
INE103A01014,MRPL,500109,21.27,20.00,5,20.00,10,5
INE414G01012,MUTHOOTFIN,533398,18.26,20.00,5,20.00,10,5
INE298J01013,NAM-INDIA,540767,18.47,20.00,5,20.00,10,5
INE987B01026,NATCOPHARM,524816,16.03,20.00,5,20.00,10,5
INE139A01034,NATIONALUM,532234,25.17,20.00,5,20.00,10,5
INE663F01024,NAUKRI,532777,19.60,20.00,5,20.00,10,5
INE048G01026,NAVINFLUOR,532504,20.82,20.00,5,20.00,10,5
INE060A01024,NAVNETEDUL,508989,16.49,20.00,5,20.00,10,5
INE095N01031,NBCC,534309,22.78,20.00,5,20.00,10,5
INE868B01028,NCC,500294,24.51,20.00,5,20.00,10,5
INE136S01016,NEOGEN,542665,25.92,20.00,5,20.00,10,5
INE317F01035,NESCO,505355,16.53,20.00,5,20.00,10,5
INE239A01016,NESTLEIND,500790,12.50,20.00,5,20.00,10,5
INE870D01012,NFL,523630,23.00,20.00,5,20.00,10,5
INE410P01011,NH,539551,19.22,20.00,5,20.00,10,5
INE848E01016,NHPC,533098,17.44,20.00,5,20.00,10,5
INE470Y01017,NIACL,540769,22.93,20.00,5,20.00,10,5
INF204KB14I2,NIFTYBEES,590103,9.09,20.00,5,20.00,10,5
INE161A01038,NIITLTD,500304,27.99,20.00,5,20.00,10,5
INE310A01015,NILKAMAL,523385,16.66,20.00,5,20.00,10,5
INE589A01014,NLCINDIA,513683,18.56,20.00,5,20.00,10,5
INE584A01023,NMDC,526371,20.28,20.00,5,20.00,10,5
INE163A01018,NOCIL,500730,22.62,20.00,5,20.00,10,5
INE234A01025,NOVARTIND,500672,33.31,20.00,5,20.00,10,5
INE733E01010,NTPC,532555,15.33,20.00,5,20.00,10,5
INE093I01010,OBEROIRLTY,533273,22.61,20.00,5,20.00,10,5
INE881D01027,OFSS,532466,15.69,20.00,5,20.00,10,5
INE274J01014,OIL,533106,21.00,20.00,5,20.00,10,5
INE800H01010,OMAXE,532880,19.81,20.00,5,20.00,10,5
INE213A01029,ONGC,500312,18.90,20.00,5,20.00,10,5
INE142Z01019,ORIENTELEC,541301,17.97,20.00,5,20.00,10,5
INE761H01022,PAGEIND,532827,16.55,20.00,5,20.00,10,5
INE140A01024,PEL,500302,21.77,20.00,5,20.00,10,5
INE262H01013,PERSISTENT,533179,18.71,20.00,5,20.00,10,5
INE347G01014,PETRONET,532522,13.59,20.00,5,20.00,10,5
INE134E01011,PFC,532810,17.27,20.00,5,20.00,10,5
INE182A01018,PFIZER,500680,15.07,20.00,5,20.00,10,5
INE179A01014,PGHH,500459,12.50,20.00,5,20.00,10,5
INE199A01012,PGHL,500126,14.55,20.00,5,20.00,10,5
INE602A01023,PCBL,506590,21.33,20.00,5,20.00,10,5
INE211B01039,PHOENIXLTD,503100,20.67,20.00,5,20.00,10,5
INE318A01026,PIDILITIND,500331,13.72,20.00,5,20.00,10,5
INE603J01030,PIIND,523642,18.24,20.00,5,20.00,10,5
INE417C01014,PILANIINVS,539883,18.40,20.00,5,20.00,10,5
